"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"Transfer","DIDO",1556,0.05,0.98,1.25,1.48,1.68,1.88,2.08,2.27,2.47,2.65,2.85,3.1,3.38,3.58,3.9,4.22,4.67,5.32,6.08,7.34,11.52,"MS","28","Mississippi"
"LKW to EMS","LKW to EMS",400,0.02,0.15,0.23,0.33,0.38,0.5,0.55,0.67,0.78,0.9,1.12,1.55,1.99,2.46,3.48,4.64,5.75,7.07,8.49,10.54,11.87,"MS","28","Mississippi"
"PSC","TPA",314,0.17,0.37,0.45,0.5,0.57,0.62,0.65,0.68,0.72,0.77,0.8,0.84,0.9,0.95,1.02,1.1,1.15,1.4,1.66,2.14,6.95,"MT","30","Montana"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT","30","Montana"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT","30","Montana"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT","30","Montana"
"Transfer","TPA",5,0.6,0.62,0.63,0.65,0.67,0.68,0.69,0.7,0.71,0.72,0.73,1.02,1.31,1.59,1.88,2.17,2.62,3.07,3.53,3.98,4.43,"MT","30","Montana"
"Transfer","MT",83,0.07,0.34,0.47,0.58,0.66,0.73,0.78,0.81,0.83,0.85,0.88,0.9,0.98,1.04,1.18,1.27,1.38,1.45,1.66,1.93,3.52,"MT","30","Montana"
"Transfer","Transfer",752,0.02,0.3,0.47,0.59,0.75,0.85,0.93,1,1.07,1.12,1.18,1.28,1.39,1.52,1.63,1.87,2.28,2.82,4.52,9.31,11.98,"MT","30","Montana"
"Transfer","DIDO",521,0.17,0.98,1.25,1.43,1.58,1.78,2.02,2.18,2.33,2.53,2.77,2.93,3.08,3.4,3.67,4.13,4.68,5.25,6.27,7.68,11.93,"MT","30","Montana"
"LKW to EMS","LKW to EMS",570,0.03,0.16,0.25,0.3,0.35,0.42,0.5,0.58,0.73,0.87,1.02,1.22,1.59,2.04,2.9,3.65,4.8,5.99,7.76,10.25,11.98,"MT","30","Montana"
"PSC","TPA",3523,0.05,0.48,0.57,0.62,0.67,0.72,0.77,0.8,0.83,0.88,0.92,0.97,1.02,1.1,1.17,1.27,1.37,1.52,1.73,2.13,5.33,"NC","37","North Carolina"
"Mothership","TPA",3416,0.08,0.23,0.28,0.32,0.35,0.37,0.4,0.43,0.47,0.52,0.55,0.6,0.65,0.7,0.77,0.85,0.93,1.1,1.3,1.75,9.7,"NC","37","North Carolina"
"Mothership","MT(TPA)",829,0.02,0.26,0.38,0.47,0.52,0.58,0.62,0.67,0.72,0.77,0.82,0.87,0.92,0.98,1.05,1.13,1.25,1.45,1.72,2.13,11.2,"NC","37","North Carolina"
"Mothership","MT(No TPA)",1738,0.02,0.33,0.52,0.67,0.77,0.88,0.98,1.05,1.13,1.2,1.27,1.35,1.43,1.53,1.65,1.8,1.98,2.25,2.62,3.75,11.3,"NC","37","North Carolina"
"Transfer","TPA",22,0.02,0.07,0.11,0.15,0.17,0.2,0.21,0.24,0.28,0.3,0.31,0.33,0.33,0.34,0.36,0.43,0.57,0.66,0.73,1.1,3.68,"NC","37","North Carolina"
"Transfer","MT",833,0.02,0.05,0.17,0.25,0.32,0.37,0.42,0.47,0.53,0.62,0.72,0.79,0.92,1,1.1,1.22,1.37,1.53,1.73,2.21,11.82,"NC","37","North Carolina"
"Transfer","Transfer",9080,0.02,0.22,0.3,0.37,0.43,0.47,0.5,0.55,0.58,0.63,0.67,0.72,0.77,0.83,0.9,1,1.13,1.33,1.63,2.63,11.98,"NC","37","North Carolina"
"Transfer","DIDO",7565,0.05,1.23,1.52,1.75,1.95,2.18,2.42,2.67,2.92,3.18,3.45,3.75,4.12,4.5,5.02,5.57,6.22,7.02,8.1,9.5,11.98,"NC","37","North Carolina"
"LKW to EMS","LKW to EMS",3533,0.02,0.17,0.25,0.32,0.4,0.5,0.62,0.77,1,1.25,1.57,2,2.43,3.08,3.92,4.83,6.07,7.64,9.21,10.68,11.97,"NC","37","North Carolina"
"PSC","TPA",187,0.35,0.47,0.53,0.58,0.63,0.68,0.72,0.75,0.81,0.84,0.87,0.9,0.93,0.97,1.02,1.13,1.26,1.52,1.86,2.23,4.87,"ND","38","North Dakota"
"Mothership","TPA",206,0.02,0.25,0.32,0.37,0.4,0.42,0.44,0.47,0.52,0.57,0.65,0.7,0.75,0.8,0.85,0.95,1,1.14,1.39,1.67,4.17,"ND","38","North Dakota"
"Mothership","MT(TPA)",24,0.15,0.19,0.31,0.32,0.35,0.38,0.4,0.42,0.52,0.58,0.63,0.68,0.77,0.8,0.85,0.86,0.9,0.97,1.13,1.25,1.85,"ND","38","North Dakota"
"Mothership","MT(No TPA)",71,0.28,0.64,0.72,0.77,0.8,0.88,0.9,0.95,1.02,1.05,1.07,1.11,1.17,1.2,1.23,1.26,1.33,1.57,2.2,3.96,9.33,"ND","38","North Dakota"
"Transfer","TPA",12,0.22,0.25,0.31,0.42,0.52,0.58,0.65,0.73,0.78,0.81,0.82,0.82,0.84,0.86,0.9,0.96,1.06,1.16,1.25,1.49,1.77,"ND","38","North Dakota"
"Transfer","MT",48,0.12,0.33,0.5,0.62,0.97,1.09,1.18,1.26,1.38,1.46,1.6,1.68,1.96,2.29,2.44,2.53,2.78,2.96,3.71,5,5.7,"ND","38","North Dakota"
"Transfer","Transfer",951,0.02,0.58,0.73,0.8,0.9,0.95,1,1.07,1.13,1.23,1.3,1.38,1.53,1.67,1.83,1.96,2.07,2.19,2.5,3.49,11.93,"ND","38","North Dakota"
"Transfer","DIDO",836,0.13,0.85,1,1.13,1.27,1.37,1.47,1.55,1.7,1.87,2,2.15,2.33,2.5,2.69,3,3.33,3.8,4.51,5.48,11.9,"ND","38","North Dakota"
"LKW to EMS","LKW to EMS",1469,0.02,0.16,0.22,0.28,0.37,0.47,0.55,0.65,0.82,1.02,1.3,1.58,2.01,2.47,3.15,4.03,5.4,6.74,8.8,10.48,11.92,"ND","38","North Dakota"
"PSC","TPA",785,0.17,0.43,0.5,0.57,0.62,0.65,0.7,0.75,0.78,0.83,0.88,0.95,1.02,1.08,1.15,1.23,1.32,1.44,1.7,2.13,5.95,"NE","31","Nebraska"
"Mothership","TPA",264,0.12,0.37,0.4,0.46,0.48,0.52,0.53,0.55,0.58,0.62,0.64,0.67,0.7,0.77,0.82,0.85,0.9,1,1.19,1.45,4.72,"NE","31","Nebraska"
"Mothership","MT(TPA)",76,0.02,0.08,0.12,0.12,0.15,0.17,0.21,0.25,0.28,0.31,0.32,0.4,0.42,0.45,0.48,0.52,0.57,0.61,0.64,0.81,4.63,"NE","31","Nebraska"
"Mothership","MT(No TPA)",127,0.07,0.37,0.48,0.6,0.65,0.73,0.78,0.85,0.87,0.93,0.98,1.03,1.07,1.12,1.23,1.37,1.45,1.67,1.82,2.58,9.05,"NE","31","Nebraska"
"Transfer","TPA",8,0.3,0.36,0.42,0.47,0.47,0.47,0.47,0.47,0.48,0.51,0.57,0.64,0.67,0.68,0.7,0.72,0.74,0.76,1.57,2.51,3.45,"NE","31","Nebraska"
"Transfer","MT",262,0.02,0.07,0.1,0.13,0.26,0.33,0.4,0.45,0.5,0.57,0.63,0.76,0.82,0.92,1,1.12,1.25,1.42,1.75,2.53,5.85,"NE","31","Nebraska"
"Transfer","Transfer",1662,0.02,0.22,0.32,0.38,0.42,0.47,0.5,0.55,0.6,0.63,0.68,0.73,0.8,0.88,0.98,1.1,1.31,1.65,2.17,3.33,11.75,"NE","31","Nebraska"
"Transfer","DIDO",1262,0.02,0.97,1.28,1.48,1.67,1.82,1.97,2.12,2.27,2.45,2.6,2.8,2.98,3.18,3.5,3.8,4.2,4.76,5.65,7.3,11.98,"NE","31","Nebraska"
"LKW to EMS","LKW to EMS",2231,0.02,0.13,0.2,0.27,0.33,0.43,0.52,0.63,0.78,1,1.32,1.72,2.25,2.83,3.62,4.68,6.02,7.53,9.22,10.58,11.98,"NE","31","Nebraska"
"PSC","TPA",194,0.23,0.35,0.42,0.48,0.52,0.57,0.6,0.62,0.65,0.71,0.77,0.82,0.88,0.94,1.02,1.1,1.19,1.32,1.62,2.03,3.53,"NH","33","New Hampshire"
"Mothership","TPA",138,0.18,0.4,0.48,0.51,0.55,0.63,0.67,0.77,0.78,0.82,0.87,0.91,0.95,1,1.13,1.29,1.5,1.76,1.99,2.49,4.07,"NH","33","New Hampshire"
"Mothership","MT(TPA)",52,0.07,0.41,0.45,0.54,0.6,0.64,0.69,0.71,0.77,0.8,0.87,0.93,1,1.03,1.11,1.19,1.25,1.46,2.22,2.94,7.13,"NH","33","New Hampshire"
"Mothership","MT(No TPA)",67,0.6,0.87,1.05,1.15,1.28,1.35,1.48,1.55,1.58,1.61,1.72,1.85,1.88,2.15,2.21,2.33,2.44,2.82,3.36,4.47,10.75,"NH","33","New Hampshire"
"Transfer","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH","33","New Hampshire"
"Transfer","MT",155,0.15,0.38,0.49,0.55,0.61,0.66,0.7,0.73,0.78,0.82,0.85,0.9,0.96,1.03,1.1,1.19,1.42,1.73,1.98,2.59,8.35,"NH","33","New Hampshire"
"Transfer","Transfer",1201,0.02,0.4,0.48,0.55,0.62,0.68,0.77,0.85,0.95,1.02,1.1,1.18,1.25,1.37,1.45,1.55,1.68,1.87,2.22,3.48,11.95,"NH","33","New Hampshire"
"Transfer","DIDO",798,0.18,1.58,1.88,2.1,2.28,2.5,2.67,2.9,3.15,3.39,3.58,3.85,4.25,4.65,5.15,5.65,6.06,6.72,7.58,9.57,11.93,"NH","33","New Hampshire"
"LKW to EMS","LKW to EMS",1028,0.02,0.12,0.22,0.32,0.4,0.52,0.63,0.76,0.95,1.12,1.38,1.68,2.08,2.73,3.5,4.44,5.62,7.13,9.04,10.47,11.98,"NH","33","New Hampshire"
"PSC","TPA",3192,0.1,0.38,0.45,0.52,0.57,0.62,0.67,0.72,0.77,0.82,0.87,0.92,0.97,1.02,1.1,1.18,1.3,1.43,1.62,2.04,10.78,"NJ","34","New Jersey"
"Mothership","TPA",3173,0.05,0.35,0.4,0.45,0.48,0.53,0.57,0.62,0.65,0.68,0.73,0.78,0.83,0.88,0.97,1.02,1.12,1.24,1.42,1.77,8.8,"NJ","34","New Jersey"
