Time,LogitFit,LogitSE
8.7927928,-0.0630128,0.0222722
8.8168168,-0.0642792,0.0222649
8.8408408,-0.065538,0.0222572
8.8648649,-0.0667893,0.022249
8.8888889,-0.068033,0.0222403
8.9129129,-0.0692692,0.0222312
8.9369369,-0.0704979,0.0222216
8.960961,-0.0717192,0.0222115
8.984985,-0.0729331,0.022201
9.009009,-0.0741396,0.0221901
9.033033,-0.0753388,0.0221787
9.0570571,-0.0765308,0.0221669
9.0810811,-0.0777155,0.0221547
9.1051051,-0.0788931,0.0221421
9.1291291,-0.0800635,0.0221291
9.1531532,-0.0812268,0.0221157
9.1771772,-0.082383,0.0221019
9.2012012,-0.0835322,0.0220877
9.2252252,-0.0846743,0.0220732
9.2492492,-0.0858096,0.0220583
9.2732733,-0.0869379,0.022043
9.2972973,-0.0880593,0.0220275
9.3213213,-0.089174,0.0220115
9.3453453,-0.0902818,0.0219953
9.3693694,-0.0913828,0.0219787
9.3933934,-0.0924772,0.0219619
9.4174174,-0.0935649,0.0219447
9.4414414,-0.0946459,0.0219272
9.4654655,-0.0957203,0.0219095
9.4894895,-0.0967882,0.0218915
9.5135135,-0.0978496,0.0218732
9.5375375,-0.0989045,0.0218547
9.5615616,-0.0999529,0.0218359
9.5855856,-0.100995,0.0218169
9.6096096,-0.1020307,0.0217977
9.6336336,-0.1030601,0.0217782
9.6576577,-0.1040832,0.0217586
9.6816817,-0.1051,0.0217387
9.7057057,-0.1061107,0.0217187
9.7297297,-0.1071152,0.0216984
9.7537538,-0.1081136,0.0216781
9.7777778,-0.1091059,0.0216575
9.8018018,-0.1100921,0.0216368
9.8258258,-0.1110724,0.021616
9.8498498,-0.1120467,0.021595
9.8738739,-0.113015,0.0215739
9.8978979,-0.1139775,0.0215527
9.9219219,-0.1149342,0.0215314
9.9459459,-0.115885,0.02151
9.96997,-0.1168301,0.0214885
9.993994,-0.1177694,0.0214669
10.018018,-0.1187031,0.0214453
10.042042,-0.1196311,0.0214237
10.0660661,-0.1205536,0.0214019
10.0900901,-0.1214704,0.0213802
10.1141141,-0.1223817,0.0213585
10.1381381,-0.1232876,0.0213367
10.1621622,-0.124188,0.0213149
10.1861862,-0.125083,0.0212932
10.2102102,-0.1259726,0.0212714
10.2342342,-0.1268569,0.0212497
10.2582583,-0.1277359,0.021228
10.2822823,-0.1286097,0.0212064
10.3063063,-0.1294782,0.0211848
10.3303303,-0.1303416,0.0211634
10.3543544,-0.1311999,0.0211419
10.3783784,-0.132053,0.0211206
10.4024024,-0.1329011,0.0210994
10.4264264,-0.1337442,0.0210783
10.4504505,-0.1345824,0.0210573
10.4744745,-0.1354156,0.0210364
10.4984985,-0.1362439,0.0210157
10.5225225,-0.1370673,0.0209952
10.5465465,-0.137886,0.0209748
10.5705706,-0.1386999,0.0209545
10.5945946,-0.139509,0.0209345
10.6186186,-0.1403134,0.0209146
10.6426426,-0.1411132,0.020895
10.6666667,-0.1419084,0.0208755
10.6906907,-0.142699,0.0208563
10.7147147,-0.1434851,0.0208373
10.7387387,-0.1442667,0.0208185
10.7627628,-0.1450438,0.0208
10.7867868,-0.1458165,0.0207818
10.8108108,-0.1465848,0.0207638
10.8348348,-0.1473488,0.0207461
10.8588589,-0.1481085,0.0207287
10.8828829,-0.148864,0.0207116
10.9069069,-0.1496152,0.0206948
10.9309309,-0.1503622,0.0206783
10.954955,-0.1511051,0.0206622
10.978979,-0.1518439,0.0206464
11.003003,-0.1525787,0.0206309
11.027027,-0.1533094,0.0206157
11.0510511,-0.1540362,0.020601
11.0750751,-0.154759,0.0205866
11.0990991,-0.1554779,0.0205726
11.1231231,-0.156193,0.020559
11.1471471,-0.1569042,0.0205457
11.1711712,-0.1576116,0.0205329
11.1951952,-0.1583153,0.0205205
11.2192192,-0.1590153,0.0205085
11.2432432,-0.1597117,0.0204969
11.2672673,-0.1604044,0.0204858
11.2912913,-0.1610935,0.0204751
11.3153153,-0.1617791,0.0204649
11.3393393,-0.1624612,0.0204552
11.3633634,-0.1631399,0.0204459
11.3873874,-0.1638151,0.020437
11.4114114,-0.1644869,0.0204287
11.4354354,-0.1651553,0.0204208
11.4594595,-0.1658205,0.0204135
11.4834835,-0.1664824,0.0204066
11.5075075,-0.1671411,0.0204003
11.5315315,-0.1677966,0.0203945
11.5555556,-0.1684489,0.0203892
11.5795796,-0.1690981,0.0203844
11.6036036,-0.1697443,0.0203802
11.6276276,-0.1703874,0.0203765
11.6516517,-0.1710276,0.0203733
11.6756757,-0.1716648,0.0203707
11.6996997,-0.1722991,0.0203686
11.7237237,-0.1729305,0.0203671
11.7477477,-0.1735591,0.0203662
11.7717718,-0.1741849,0.0203659
11.7957958,-0.1748079,0.0203661
11.8198198,-0.1754283,0.0203669
11.8438438,-0.176046,0.0203683
11.8678679,-0.176661,0.0203703
11.8918919,-0.1772734,0.0203728
11.9159159,-0.1778833,0.020376
11.9399399,-0.1784907,0.0203798
11.963964,-0.1790956,0.0203841
11.987988,-0.1796981,0.0203891
12.012012,-0.1802982,0.0203947
12.036036,-0.1808959,0.0204009
12.0600601,-0.1814913,0.0204077
12.0840841,-0.1820845,0.0204151
12.1081081,-0.1826754,0.0204231
12.1321321,-0.1832641,0.0204318
12.1561562,-0.1838506,0.0204411
12.1801802,-0.1844351,0.020451
12.2042042,-0.1850174,0.0204615
12.2282282,-0.1855977,0.0204726
12.2522523,-0.1861761,0.0204844
12.2762763,-0.1867524,0.0204968
12.3003003,-0.1873269,0.0205099
12.3243243,-0.1878995,0.0205235
12.3483483,-0.1884702,0.0205378
12.3723724,-0.1890391,0.0205527
12.3963964,-0.1896063,0.0205683
12.4204204,-0.1901718,0.0205844
12.4444444,-0.1907355,0.0206012
12.4684685,-0.1912977,0.0206187
12.4924925,-0.1918582,0.0206367
12.5165165,-0.1924172,0.0206554
12.5405405,-0.1929746,0.0206747
12.5645646,-0.1935306,0.0206946
12.5885886,-0.1940851,0.0207151
12.6126126,-0.1946382,0.0207363
12.6366366,-0.19519,0.020758
12.6606607,-0.1957405,0.0207804
12.6846847,-0.1962896,0.0208034
